N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
141,DB하이텍,"51,400","1,700",+3.42%,"5,000","22,821","44,399",15.99,"362,801",13.66,23.07,
142,일진하이솔루스,"61,200","1,600",+2.68%,500,"22,224","36,313",3.62,"117,542",114.18,34.27,
143,롯데정밀화학,"86,100","1,500",+1.77%,"5,000","22,214","25,800",21.46,"321,923",9.06,12.65,
144,현대위아,"81,200","6,100",+8.12%,"5,000","22,082","27,195",8.39,"417,917",21.73,1.96,
145,TIGER 차이나전기차SOLACTIVE,"17,165",175,+1.03%,0,"22,047","128,440",2.48,"810,228",N/A,N/A,
146,솔루스첨단소재,"71,600","5,000",-6.53%,100,"21,902","30,590",7.94,"638,329",-186.46,-5.10,
147,TIGER 200,"38,940",640,+1.67%,0,"21,884","56,200",0.00,"550,531",N/A,N/A,
148,KODEX 200선물인버스2X,"2,315",80,-3.34%,0,"21,180","914,900",4.13,"152,508,568",N/A,N/A,
149,KODEX 단기채권,"102,945",0,0.00%,0,"20,555","19,967",0.00,"6,033",N/A,N/A,
150,LS,"62,800","1,000",+1.62%,"5,000","20,222","32,200",14.16,"33,544",8.15,3.94,
151,영원무역,"45,000","1,600",+3.69%,500,"19,940","44,311",27.57,"108,042",10.64,8.03,
152,LS ELECTRIC,"64,400","1,400",+2.22%,"5,000","19,320","30,000",18.12,"30,616",21.06,6.15,
153,대한전선,"2,250",125,+5.88%,500,"19,271","856,473",1.90,"6,785,222",-118.42,0.92,
154,현대백화점,"81,800",800,+0.99%,"5,000","19,143","23,402",19.26,"51,764",14.78,1.65,
155,현대엘리베이,"46,850",650,+1.41%,"5,000","19,122","40,815",26.66,"73,308",19.84,9.78,
156,아시아나항공,"25,150",800,+3.29%,"5,000","18,715","74,412",8.43,"958,382",-27.34,-43.83,
157,대웅,"32,000","2,750",+9.40%,500,"18,605","58,142",3.92,"228,871",19.79,15.10,
158,후성,"20,000","1,000",-4.76%,500,"18,521","92,607",3.14,"4,939,639",185.19,2.79,
159,한전기술,"47,450",150,+0.32%,200,"18,135","38,220",2.30,"131,987",87.71,N/A,
160,한전KPS,"40,150",150,-0.37%,200,"18,068","45,000",8.44,"202,703",18.49,8.23,
161,오뚜기,"491,500","6,500",+1.34%,"5,000","18,048","3,672",12.52,"1,637",20.56,7.93,
162,KODEX 단기채권PLUS,"103,255",10,+0.01%,0,"17,450","16,900",0.00,"40,984",N/A,N/A,
163,농심,"286,500","5,500",+1.96%,"5,000","17,427","6,083",13.25,"6,913",15.73,7.50,
164,JB금융지주,"8,730",110,+1.28%,"5,000","17,197","196,983",40.51,"73,215",3.79,10.06,
165,HDC현대산업개발,"26,050",700,+2.76%,"5,000","17,169","65,907",10.81,"129,094",9.30,8.85,
166,DGB금융지주,"10,050",50,+0.50%,"5,000","16,999","169,146",50.18,"217,614",3.99,6.93,
167,KODEX 레버리지,"22,920",715,+3.22%,0,"16,869","73,600",2.61,"11,833,302",N/A,N/A,
168,동국제강,"17,400",500,+2.96%,"5,000","16,605","95,433",23.41,"352,756",5.66,3.35,
169,대웅제약,"136,000","6,000",+4.62%,"2,500","15,758","11,587",7.38,"28,612",531.25,2.38,
170,KODEX 삼성그룹,"9,685",105,+1.10%,0,"15,748","162,600",0.17,"38,104",N/A,N/A,
171,금호타이어,"5,440",250,+4.82%,"5,000","15,627","287,260",4.23,"279,468",73.51,-6.74,
172,한국앤컴퍼니,"16,100",350,+2.22%,500,"15,285","94,935",9.85,"59,975",6.16,5.08,
173,PI첨단소재,"51,800","1,600",+3.19%,500,"15,212","29,366",18.04,"80,358",27.86,15.62,
174,코스맥스,"134,000","8,500",+6.77%,500,"15,208","11,350",24.03,"132,517",31.05,6.23,
175,롯데관광개발,"21,850",450,+2.10%,500,"15,137","69,276",6.75,"474,736",-9.68,-30.43,
176,동원시스템즈,"58,300","1,600",+2.82%,"5,000","14,936","25,619",1.90,"52,234",27.71,10.97,
177,프레스티지바이오파마,"24,800",500,-1.98%,0,"14,904","60,096",63.67,"208,432",-174.65,-1.78,
178,TIGER 단기통안채,"100,355",5,0.00%,0,"14,824","14,772",0.80,221,N/A,N/A,
179,두산,"89,600",700,+0.79%,"5,000","14,805","16,524",10.99,"12,805",-146.64,-34.34,
180,DL,"70,400","1,400",+2.03%,"5,000","14,753","20,956",14.08,"55,217",2.27,11.84,
181,한미반도체,"29,600","2,100",+7.64%,200,"14,640","49,460",6.20,"280,771",19.73,21.03,
182,아이에스동서,"46,900","1,900",+4.22%,500,"14,489","30,893",4.58,"29,254",13.37,10.92,
183,KODEX 종합채권(AA-이상)액티브,"107,830",100,-0.09%,0,"14,456","13,406",0.00,"3,890",N/A,N/A,
184,솔루엠,"27,750",700,+2.59%,500,"13,877","50,006",8.67,"294,544",34.73,43.26,
185,롯데칠성,"149,500","3,500",+2.40%,500,"13,872","9,279",8.56,"8,066",60.90,-1.00,
186,LG생활건강우,"658,000","27,000",+4.28%,"5,000","13,816","2,100",84.25,"2,966",13.82,N/A,
187,명신산업,"26,200","1,050",+4.17%,500,"13,747","52,470",1.79,"178,059",-11.36,-67.39,
188,녹십자홀딩스,"29,000","1,250",+4.50%,500,"13,638","47,028",5.46,"100,982",8.95,19.74,
189,에스엘,"27,900","2,100",+8.14%,500,"13,449","48,203",16.79,"197,051",8.83,4.74,
190,NHN,"68,500","1,000",+1.48%,500,"13,402","19,565",12.01,"16,824",61.16,1.35,
191,SK가스,"144,500","3,500",-2.36%,"5,000","13,338","9,230",6.99,"22,954",5.39,14.91,
192,롯데렌탈,"36,350",550,+1.54%,"5,000","13,316","36,634",0.93,"60,255",18.56,6.73,
193,롯데리츠,"5,480",0,0.00%,500,"13,315","242,969",9.99,"125,893",69.37,1.68,
194,대한유화,"204,500","1,500",+0.74%,"5,000","13,292","6,500",13.32,"20,955",5.72,6.93,
195,신세계인터내셔날,"185,000","1,500",+0.82%,"5,000","13,209","7,140",5.20,"13,518",18.22,8.24,
196,진원생명과학,"29,200",900,+3.18%,"1,000","13,202","45,212",13.11,"773,189",-61.22,-30.43,
197,종근당,"115,000","4,000",+3.60%,"2,500","13,140","11,426",7.66,"42,304",15.44,17.88,
198,코스모신소재,"43,400",900,-2.03%,"1,000","13,058","30,087",6.56,"739,928",68.78,7.16,
199,F&F홀딩스,"33,000","1,350",+4.27%,500,"12,908","39,114",0.53,"61,825",0.24,16.59,
200,KG동부제철,"12,900",550,+4.45%,"5,000","12,901","100,009",1.53,"106,440",10.55,7.18,
